ID,Question,GPSType,QuestionType,SortOrder,PassionType,AnswerDefault,SummaryText
1,I seek opportunities to talk about spiritual matters with unbelievers.,1,1,1,,,
2,There are moments when I sense God leading me to do something specific.,1,1,2,,,
3,Studying the Bible and sharing my insights with others is very satisfying.,1,1,3,,,
4,I tend to see the potential in people.,1,1,4,,,
5,I enjoy celebrating with people in their successes and supporting them through their challenges.,1,1,5,,,
6,I enjoy bringing hope and joy to people living in difficult circumstances.,1,1,6,,,
7,I like to meet needs immediately.,1,1,7,,,
8,I like knowing that my financial support makes a real difference in God's kingdom.,1,1,8,,,
9,"I enjoy handling the details of organizing ideas, people, resources and time for more effective ministry.",1,1,9,,,
10,I am able to motivate others to accomplish a goal.,1,1,10,,,
11,I have applied spiritual truth effectively to situations in my own life.,1,1,11,,,
12,People have told me that the spiritual insights I shared with them helped move them closer to God.,1,1,12,,,
13,"I can readily distinguish between spiritual truth and error, good and evil.",1,1,13,,,
14,I would like to start churches in places where they do not presently exist.,1,1,14,,,
15,Praying for others is one of my favorite ways of spending time.,1,1,15,,,
16,"I enjoy working creatively with wood, cloth, paints, metal, glass or other materials.",1,1,16,,,
17,I find that I best communicate and understand God's truth through artistic expressions.,1,1,17,,,
18,I find it natural and easy to trust God to answer my prayers.,1,1,18,,,
19,I can make people feel at ease even in unfamiliar surroundings.,1,1,19,,,
20,I look for opportunities to build relationships with people who do not have a relationship with Jesus.,1,1,20,,,
21,People often change how they live when I share God’s truth with them.,1,1,21,,,
22,People “get it” when I explain God's word to them.,1,1,22,,,
23,I enjoy reassuring and strengthening those who are discouraged.,1,1,23,,,
24,I have helped fellow believers by guiding them to relevant portions of the Bible and praying with them.,1,1,24,,,
25,I enjoy doing practical things for people who are in need.,1,1,25,,,
26,I am often the first person on the scene to actually help people.,1,1,26,,,
27,I give more than ten percent of my income so that kingdom work can be accomplished.,1,1,27,,,
28,I have been able to make effective and efficient plans for accomplishing the goals of a group.,1,1,28,,,
29,I am able to influence others to achieve a vision.,1,1,29,,,
30,I am often sought out by others for advice about spiritual or personal matters.,1,1,30,,,
31,I study and read quite a bit in order to learn new biblical truths.,1,1,31,,,
32,I tend to see whether things are right or wrong in situations.,1,1,32,,,
33,Starting a new church or ministry is something I enjoy being part of.,1,1,33,,,
34,I take prayer requests from others and consistently pray for them.,1,1,34,,,
35,I enjoy building things for use in ministry.,1,1,35,,,
36,I like finding new and fresh ways to communicate God's truth.,1,1,36,,,
37,"I have confidence in God's continuing provision and help, even in difficult times.",1,1,37,,,
38,I enjoy entertaining people and opening my home to others.,1,1,38,,,
39,I regularly share Jesus’ good news in a way that effectively connects with people “where they are.”,1,1,39,,,
40,"I see most actions as right or wrong, and feel the need to correct the wrong.",1,1,40,,,
41,When I talk about the Bible it motivates others to study and to learn more.,1,1,41,,,
42,"I reassure those who need to take courageous action in their faith, family, or life.",1,1,42,,,
43,People have told me that I have helped them to find their way back to God.,1,1,43,,,
44,I have great compassion for people who are struggling in life.,1,1,44,,,
45,I am quick to respond when others need help.,1,1,45,,,
46,I give generously and joyfully to people in financial need or to projects requiring support.,1,1,46,,,
47,I set goals and manage people and resources effectively to accomplish them.,1,1,47,,,
48,I influence others to perform to the best of their capability.,1,1,48,,,
49,"I can often find simple, practical solutions in the midst of conflict or confusion.",1,1,49,,,
50,I have the ability to discover new truths for myself through reading or from observing situations firsthand.,1,1,50,,,
51,People often tell me that the insights I give them are very reliable.,1,1,51,,,
52,I enjoy pioneering new undertakings.,1,1,52,,,
53,I have experienced God actually helping people as I pray for them.,1,1,53,,,
54,I can visualize how something should be constructed before I build it.,1,1,54,,,
55,I help people understand themselves and God better through artistic expression.,1,1,55,,,
56,I am ready to try the impossible because I have great trust in God.,1,1,56,,,
57,I view my home as a place to minister to people in need.,1,1,57,,,
58,I communicate the gospel to others with clarity and effectiveness.,1,1,58,,,
59,I will speak God's truth even in places where it is unpopular or difficult to accept.,1,1,59,,,
60,I can share complex ideas in a way that makes it easy for people to grasp and apply to their lives.,1,1,60,,,
61,I like motivating others to take their next step of spiritual growth.,1,1,61,,,
62,I enjoy giving guidance and practical support to a small group of people.,1,1,62,,,
63,I can patiently support those going through painful experiences.,1,1,63,,,
64,I enjoy doing routine tasks that support ministry.,1,1,64,,,
65,I appreciate the opportunity to financially support a critical situation.,1,1,65,,,
66,"I like to organize people, tasks, and events.",1,1,66,,,
67,I am able to cast a vision that others want to be a part of.,1,1,67,,,
68,I can apply truths from the Bible that others regard as practical and helpful.,1,1,68,,,
69,I discover new insights when reading the Bible and people find those insights beneficial.,1,1,69,,,
70,I can tell the difference between truth and error even in complicated situations.,1,1,70,,,
71,People seem to be willing to follow my leadership without much resistance.,1,1,71,,,
72,"When I hear about needy situations, I pray.",1,1,72,,,
73,I enjoy working with my hands and people appreciate the work I do.,1,1,73,,,
74,"I enjoy developing and using my artistic skills (art, drama, music, photography, etc.).",1,1,74,,,
75,I am often ready to believe God will lead us through a situation when others feel it is impossible.,1,1,75,,,
76,People seem to be very comfortable in my home.,1,1,76,,,
77,I am good at listening and taking in what people say.,2,1,3,,,
78,People say I am good at presenting information and ideas.,2,1,4,,,
79,"When I'm excited about something, I get others interested in it too.",2,1,5,,,
80,I can accurately assess a person based on first impressions and know instinctively if they are being real with me.,2,1,6,,,
81,I can be counted on to contribute original ideas.,2,1,7,,,
82,I see more value in building up something meaningful and useful than always striking out into new initiatives.,2,1,8,,,
83,I try explaining things in different ways if people are finding a concept difficult to grasp or understand.,2,1,9,,,
84,"People with different value systems have said that they feel comfortable when they are around me, and that I have a positive effect on them being open to new ideas.",2,1,10,,,
85,People comment that I am unusually creative.,2,1,11,,,
86,People describe me as entrepreneurial.,2,1,12,,,
87,"When I communicate truth (even hard truth) to others I see resulting changes in their knowledge, attitudes, values or conduct.",2,1,13,,,
88,I love to share information with others.,2,1,14,,,
89,"I like to tell stories, especially my own.",2,1,15,,,
90,I have just suddenly known something about someone.,2,1,16,,,
91,I will be the first to try new things out if it will encourage others to do the same.,2,1,17,,,
92,I like to create safe places for people to flourish and grow.,2,1,18,,,
93,People have told me that I have helped them learn important truth in a meaningful way.,2,1,19,,,
94,I like to share what I believe.,2,1,20,,,
95,Sometimes I just intuitively know things that others seem to miss.,2,1,21,,,
96,"I can clarify goals, develop strategies and cast a vision to accomplish tasks.",2,1,22,,,
97,I remember names or at least where I first met someone.,2,1,23,,,
98,I generally appreciate hard facts more than theories.,2,1,24,,,
99,"I have enjoyed relating to a certain group of people over a period of time, sharing personally in their successes and their failures.",2,1,25,,,
100,I sometimes get frustrated and even depressed at the lack of faith or understanding of others around me.,2,1,26,,,
101,I like change even when it makes others uncomfortable.,2,1,27,,,
102,"I get concerned, and maybe even upset, at other people’s difficulties and problems even if I haven’t experienced them myself.",2,1,28,,,
103,I share what knowledge I have with others.,2,1,29,,,
104,I think I would do well selling a product I really believed in.,2,1,30,,,
105,I am sensitively able to discern the real meaning behind things.,2,1,31,,,
106,I love new challenges that require me to stretch and change.,2,1,32,,,
107,I am quick to help when help is needed and often do things which I see need to be done without even being asked.,2,1,33,,,
108,I am able to discern the real meaning behind things.,2,1,34,,,
109,I love to show people how to do things that I do well.,2,1,35,,,
110,I mix easily with a wide variety of people without having to try to be one of them.,2,1,36,,,
111,"I sometimes feel compelled to speak the truth, even if it makes others feel uncomfortable.",2,1,37,,,
112,"I enjoy coming up with new and original ideas, dreaming big and thinking about visions for the future.",2,1,38,,,
113,"I like to provide a safe and comfortable environment where people feel they are welcome, that they belong, are listened to and cared for.",2,1,39,,,
114,I enjoy relating stories and sharing my experiences.,2,1,40,,,
115,People say I get passionate about the things I believe in and it shows.,2,1,41,,,
116,I enjoy meditation and thinking deeply about spiritual things.,2,1,42,,,
117,I've always wanted to build a business/organization from the ground up so I can give my specific vision to it.,2,1,43,,,
118,"I am faithful in providing support, care and nurture for others over long periods of time, even when others have stopped.",2,1,44,,,
119,I get great satisfaction in accomplishing the details of a task.,2,1,45,,,
120,I look for opportunities to socialize and build relationships with people that are different from me.,2,1,46,,,
121,I have expressed my spiritual feelings as pictures or analogies.,2,1,47,,,
122,Others have suggested that I am a person of unusual vision.,2,1,48,,,
123,"I find that people trust me and come to me regularly, wanting to chat, and looking for my advice and help.",2,1,49,,,
124,I enjoy taking notes when someone is speaking and pay close attention to the details of what they are saying.,2,1,50,,,
125,I don’t mind getting on a soap box for things that are important to me.,2,1,51,,,
126,I have had dreams that I know were more significant than regular dreams.,2,1,52,,,
127,"I like to help organizations, groups and leaders become more efficient and often find myself thinking about how things function.",2,1,53,,,
128,I have a real aversion to gossip and often stop it when I hear it.,2,1,54,,,
129,"When I like a movie or restaurant, everyone will hear about it.",2,1,55,,,
130,"I sometimes have an urge to share my thoughts with people, and I have been told they meant something or were relevant to the person's current situation.",2,1,56,,,
131,People tell me that the things I say often help them to try new things.,2,1,57,,,
132,People tell me that I care too much for others.,2,1,58,,,
133,"I enjoy coming up with the best, most efficient way to do a task right.",2,1,59,,,
134,I find myself talking about things I’m passionate about to the people I meet.,2,1,60,,,
135,Social justice for the poor and marginalized means a great deal to me.,2,1,61,,,
136,"Despite not enjoying the nitty-gritty details of leadership, I still often end up leading.",2,1,62,,,
137,I think before I speak.,2,1,63,,,
138,I like to create safe environments where people can learn and mature.,2,1,64,,,
139,I don't shy away from controversial subjects if they are important to me.,2,1,65,,,
140,I often have a strong sense of what to say to people in response to a particular situation.,2,1,66,,,
141,"When in a group, I am the one others often look to for vision and direction.",2,1,67,,,
142,I am willing to challenge or confront people in order to help them mature.,2,1,68,,,
143,"I enjoy digging out information, ideas, and metaphors to explain a concept.",2,1,69,,,
144,"Sometimes, in my enthusiasm, I push my views too far with people.",2,1,70,,,
145,My inspired thoughts surprise me with their clarity and unexpected direction.,2,1,71,,,
146,"I have a clear vision, and others have said that they feel confident to go along with me.",2,1,72,,,
147,I sometimes have difficulty setting boundaries with needy people.,2,1,73,,,
148,I try to think of different ways of expressing the truth.,2,1,74,,,
149,I am interested in living and working overseas or among people from a different culture.,2,1,75,,,
150,I regularly like to be alone for long periods of time to reflect and think.,2,1,76,,,
151,I get frustrated when I feel I’m not experiencing new things in my life.,2,1,77,,,
152,I empathize with those who are hurting or broken and can support them through their pain to wholeness.,2,1,78,,,
153,People have told me that I have communicated timely words or pictures which must have come directly from some higher plane.,2,1,79,,,
154,I love to meet new people and get to know their story.,2,1,80,,,
155,Sometimes I am able to reveal specific things which have then happened or meant something at a later date.,2,1,81,,,
156,"When reading, it is easier for me to grasp the wider picture or message than the specific details.",2,1,82,,,
157,The People. Click the top two types of people you most passionate about serving.,2,2,1,People,,
158,The Causes. Click the top two causes you are most passionate about influencing.,2,2,2,Cause,,
159,Review your Spiritual Gifts and their definitions. List any memories you have of those gifts being used or developed in your past.,3,3,3,,"Example 1: My first memory of using my teaching gift was when I was in 4th grade. The neighborhood kids regularly came to my house and I often played the teacher in our make-believe school.

Example 2: I didn’t know it at the time, but I had a leadership gift in High School. I was the class president all 4 years and led the school to make multiple changes that are still in use today.",Here are the various times in your life that you identified seeing your gifts being active or developed.
160,Review your Abilities. List any memories you have of those abilities being used or developed in your past.,3,3,4,Abilities,Example: My Event Planning ability really blossomed in early adulthood when my best friends started getting married. I offered to plan a girlfriend’s wedding and it went so well that I ended up doing several of their weddings and baby showers.,Here are the various times in your life that you identified seeing your abilities being active or developed.
161,"Review the People and the Causes you selected in the Passion section. Please share any life experiences you have had that potentially developed these passions in you. As a reminder, our greatest passions often emerge out of our greatest struggles.",3,3,5,,Example: My passion for helping Young Marrieds develop strong financial plans developed in my middle age years. I was laid off from my job during the recession and did not have enough money to keep our house. I don’t want that to happen to anyone else.,Here are the various times in your life that you identified seeing your passions being developed in you.
162,Review your Spiritual Influencing Styles. List any memories you have of those Styles being used or developed in your past.,3,3,6,,"Example: I didn’t notice I had the Apostle Spiritual Influencing Style until I was retired. Throughout my life I always helped new churches as they were getting started. When I retired, I was asked to be on the board of a church-planting organization because of my “obvious vision” for seeing more churches planted across the country.",Here are the various times in your life that you identified seeing your influencing styles being developed in you.
163,"If God offered to make one meaningful change in the world through your life, what change would you want Him to make? Please be specific.",3,3,7,,,
164,What would the people closest to you say you are passionate about?,3,3,8,,,
165,"When you get near to your deathbed, what is the one regret (apart from your family) you want to make sure you do not have?",3,3,9,,,
166,"Indicate your key abilities. From the list below, please click your top three abilities. You may write in up to two specific abilities.",1,2,77,,,